venueid;venuename;address;state;zip;lat;long;wheelchair_accessibility
44e65caff964a5207a371fe3;Bello Coffee & Tea;2885 Diamond St;CA;94131;37.733.718;-122.433.957;Yes
4767a0f0f964a520f24c1fe3;Kate's Pub;309 NE 45th St;WA;98105;4.766.126.478;-122.324.594;Yes
4ac38a50f964a520b69b20e3;Ph†Ø_ Pasteur;31860 Alvarado Blvd;CA;94587;37.590.596;-1.220.701.184;Yes
4b2d2deef964a5204fd024e3;Taco Bell;8440 N High St;OH;43235;4.013.504.516;-830.163.002;Yes
4b51f138f964a5207e5c27e3;IHOP;25402 Rockaway Blvd;NY;11422;4.063.543.136;-7.374.042.778;Yes
4b707c77f964a5206e1d2de3;The Landing Restaurant and Lounge;270 Ann St NW;MI;49504;4.299.492.917;-8.567.480.722;Yes
4b921484f964a5204fe633e3;Denny's;2132 S 320th St;WA;98003;47.315.528;-1.223.054.732;Yes
4ba65950f964a520104939e3;Applebee's;1641 Niagara Falls Blvd;NY;14226;4.300.010.745;-7.882.189.107;Yes
4baced20f964a5206f1a3be3;Morrie O'Malley's Hot Dogs;3501 S Union Ave;IL;60609;418.306.907;-8.764.330.181;Yes
4be87fbb88ed2d7f7af2cb1d;Taco Bell;1025 Peppers Ferry Rd;VA;24382;3.696.546.306;-8.106.763.639;Yes
4bf44a10706e20a1ea2aa998;Kathy's Deli;671 Walnut St;CA;95928;3.972.091.978;-1.218.456.745;Yes
4c379a7bdfb0e21ea918ada8;URBN Coal Fired Pizza;3085 University Ave;CA;92104;3.274.830.321;-1.171.274.114;Yes
4c4751101262ef3b9685cc41;Lamplighter II;187 SW Cutoff;MA;1604;4.222.999.658;-7.175.410.053;Yes
4d17936025cda143420f78d6;McDonald's;14390 Air and Space Museum Pkwy;VA;20151;3.891.119.272;-7.744.337.797;Yes
4d545a82cff7721e5c9b9df5;Antonios pizza;3825 Pearl Rd;OH;44256;4.117.072.076;-8.186.015.135;Yes
4ecbf068722efb00f8dfd359;China Dragon;709 Broadway Ave;TX;75647;3.253.513.222;-9.493.570.447;Yes
5104675ae4b0637e103e6f69;Tivoli & Lee;2 Lee Cir;LA;70130;2.994.359.074;-9.007.223.363;Yes
52f2e9d3498e11d353d13128;Salt & Lime Cabo Grill;6006 Falls of Neuse Rd;NC;27609;3.586.516.007;-7.861.929.521;Yes
53472fd4498e964eb8de3b17;Pacific Brewing Company;8680 Miralani Dr;CA;92121;3.289.670.994;-1.171.375.424;Yes
550cbe91498ec8c459b94ee8;Santa Fe Grill;2200 E 2nd St;AL;36542;302.750.609;-8.768.244.267;Yes
552ace6b498e4a1cb5d608a2;Franks Lounge;2640 52nd Ave S;ND;58104;4.680.286.413;-968.214.145;Yes
554e7890498e1a6ae33197d5;NoBull Smokehouse and Bar;609 Np Ave N;ND;58102;46.876.074;-96.788.319;Yes
5583d8b8498e0b1f54caaad0;Sushi Shiga;7014 Fry Rd Ste 104;TX;77433;2.988.092.758;-957.224.778;Yes
55a19edd498ed70fba1defba;Triangle;601 Prince George St;VA;23185;3.727.327.121;-7.670.904.394;Yes
55f4978c498e910f227f74f2;King Donuts;\\N;KY;40769;3.672.560.595;-8.416.538.119;Yes
55fa8a01498e077ee2c964f0;Charlie's Weiners;15054 Oxnard St;CA;91411;3.417.882.598;-118.461.628;Yes
4a25b036f964a5207a7e1fe3;Whole Foods Market;3300 N Ashland Ave;IL;60657;4.194.171.416;-8.766.914.423;Yes
4b23a496f964a5208a5724e3;Outback Steakhouse;6950 Ridge Rd;OH;44129;4.137.639;-81.735.449;Yes
4b528a91f964a520a38127e3;Sea Galley;4101 Credit Union Dr;AK;99503;61.183.478;-149.887.423;Yes
4b5735d4f964a520322b28e3;Mamasan's Noodle Caboodle;2800 Monroe Ave;NY;14618;4.311.244.648;-775.489.748;Yes
4b6073def964a520d1e629e3;Wendy's;40 S Court St;OH;45701;3.932.803.755;-8.210.112.512;Yes
4b65c90af964a520a2ff2ae3;Applebee's;3401 Steelyard Dr;OH;44109;4.146.147.482;-816.898.191;Yes
4b8ac6f7f964a520598032e3;Outriggers Seafood Bar & Grill;101 Bath;TX;77586;2.954.992.982;-9.502.353.606;Yes
4ba27dfbf964a520fafd37e3;Subway;29 Grand Ave;CA;94612;37.811.375;-1.222.660.338;Yes
4bc41852dce4eee185ef719d;Railroad Pass Hotel & Casino;2800 S Boulder Hwy;NV;89015;3.597.256.078;-114.912;Yes
4bd70ec529eb9c748a1296e1;Honeymoon Chinese Restaurant;12037 S Pulaski Rd;IL;60803;4.167.444.856;-8.771.869.751;Yes
4c0098bbefa2ef3be953aa8c;MacArthur's Restaurant;5412 W Madison St;IL;60644;4.188.053.202;-8.776.073.398;Yes
4c1ebb48fcf8c9b684c4ad0b;Cheetah Gentlemens Club;626 Guilford College Rd;NC;27409;3.606.353.772;-7.990.702.339;Yes
4dde7e147d8bb03c06b4fcb6;Hunan Wok;623 E Main St;NJ;8807;4.056.370.299;-7.457.759.321;Yes
4de174e4d4c0704405550912;Smoke-N-Bones Wood Pit B.B.Q.;\\N;NJ;8260;3.900.518.889;-7.480.244.371;Yes
4e4161e81495c3b70249168f;G & G Pizza;10734 Highway 431 S;AL;35760;3.453.342.447;-8.641.811.039;Yes
4e4d1ba3bd413c4cc66ebadd;Breadeaux Pizza;1425 Silver St;NE;68003;4.103.888.307;-9.636.905.144;Yes
4ed7b94582311e04d29a92e0;The Big Bean Theory;520 Park Avenue;MD;21201;3.929.493.565;-7.661.827.683;Yes
4f36845ae4b0fc67a830c159;The Mad Taco;72 Main St;VT;5602;4.425.998.381;-7.257.553.421;Yes
506368a9e4b0675ed5d4f46e;Chase Bank;555 9th St;CA;94103;37.770.783;-122.407.493;Yes
51eed2a7498ee72a15725e63;Hardee's;111 Broad Street;GA;30680;3.399.408.934;-8.371.742.551;Yes
524c788e11d2bc38ec3b1844;Mission BBQ;3701 Boston St;MD;21224;3.927.687.844;-7.656.497.061;Yes
5262991a498ea08a530b48dc;Birdbath Neighborhood Green Bakery;2244 Broadway;NY;10024;4.078.470.942;-7.397.932.698;Yes
532c5c8f498ef5c35f24a820;Joyous Yogurt;5417 US 19 Suite 105;FL;34652;2.823.811.028;-8.272.806.797;Yes
532f463c498eac97fb26ec9e;Little Manila;7 S Washington Ave;NJ;7621;4.092.744.026;-7.399.605.274;Yes
542dfeb0498eec4337f378c3;La Brioche;2906 N State St;MS;39216;32.334.761;-90.176.511;Yes
545d8335498e94b48eb3aca0;Mangaringas;5801 N Mesa St;TX;79912;3.182.426.365;-1.065.236.325;Yes
54d003a9498e0a8c6bfe6146;Pastina Rustic Italian Kitchen;9354 Mentor Ave;OH;44060;4.167.884.567;-8.130.509.089;Yes
55043627498e9e3f31f45b2e;Aunties;159 S Main St;MI;48827;42.511.632;-84.655.314;Yes
55367361498efd221fb5f1f5;Basic Cafe Bar & Grill;5000 Adeline St;CA;94608;37.836.619;-122.276.186;Yes
55fb3a27498ee84263d56038;Amplitude Karaoke;314 Constitution Dr Ste B;VA;23462;3.684.619.082;-7.613.029.376;Yes
564cb152498eb31a4de6fd79;Which Wich Uptown;101 S Tryon St;NC;28280;3.522.638.641;-80.842.901;Yes
3fd66200f964a5200ce91ee3;George Keeley NYC;485 Amsterdam Ave;NY;10024;40.785.953;-73.976.422;Yes
40a55d80f964a52020f31ee3;Clinton St. Baking Co. & Restaurant;4 Clinton St;NY;10002;4.072.107.925;-7.398.394.257;Yes
44d393f1f964a52049361fe3;Manresa;320 Village Ln.;CA;95030;3.722.742.295;-1.219.808.773;Yes
49ba6a0ff964a52061531fe3;Parkside;301 E 6th St;TX;78701;302.673.288;-97.740.299;Yes
4a765117f964a520d4e21fe3;Eleni's New York;75 9th Ave;NY;10011;407.419.204;-7.400.498.547;Yes
4a9ab276f964a5203d3220e3;Bloc 11 Cafe;11 Bow St;MA;2143;42.380.855;-71.096.912;Yes
4ac25dc5f964a520d89820e3;Fegley's Bethlehem Brew Works;559 Main St Ste 101;PA;18018;4.062.243.388;-7.538.215.736;Yes
4ac7fac4f964a52003bb20e3;Little Vincent's Pizza;1399 2nd Ave;NY;10021;4.076.939.551;-7.395.794.132;Yes
4afabad8f964a5206d1822e3;Donut Drive-In;6525 Chippewa St;MO;63109;3.859.220.803;-9.030.278.385;Yes
4b004d2ff964a520853c22e3;cicis;1550 Opelika Rd #30;AL;36830;326.230.889;-854.479.255;Yes
4b5c7f8ef964a520d13229e3;Chili's Grill & Bar;6635 Clinton Hwy;TN;37912;36.006.286;-8.402.093;Yes
4b6cb09bf964a520724c2ce3;Tuscany Ristorante;2418 Rhawn St;PA;19152;4.005.706.477;-7.504.774.726;Yes
4b6f2324f964a5208cdf2ce3;I Am Coffee;2758 Lyndale Ave S;MN;55408;4.495.206.626;-9.328.853.846;Yes
4baa6cacf964a520e2683ae3;Bank of America;501 N Main St;NC;27262;35.960.852;-8.000.907.591;Yes
4bbd79408a4fb713fe153d9d;Honolulu Coffee Company;1450 Ala Moana Blvd;HI;96814;2.129.147.364;-1.578.434.515;Yes
4bc7abb9af07a5936ab17f2d;Birmingham Sushi Cafe;377 Hamilton Row;MI;48009;4.254.758.027;-832.132.383;Yes
4be5fdb12457a593f756ac15;Havana Carolina Cafe';8 Cabarrus Ave W;NC;28025;3.541.041.311;-80.580.783;Yes
4c02a666f56c2d7f39b71b66;Se«Òor Juan's Cigars;905 Main St;NJ;7719;4.018.003.721;-7.402.544.783;Yes
514213bd3d7ca5b4135a8f8e;Jimmy John's;1450 Timberlane Rd;FL;32312;305.051.634;-8.425.301.853;Yes
52e6dc8f11d21c3e51f5aef6;Gateway Science Academy South;6651 Gravois Ave;MO;63116;3.857.232.703;-9.028.337.002;Yes
52f5fedf498e0fd29366b6b1;does not apply;1111 Nuuanu Ave;HI;96817;2.131.094.562;-157.862.986;Yes
53bd82bb498e8206d94b4d7e;Reverb Lounge;6121 Military Ave;NE;68104;4.128.541.358;-9.600.848.006;Yes
54faf470498ec6204c819692;Punda Restaurant;39-35 47th Ave;NY;11104;4.074.198.973;-7.392.524.242;Yes
555ce0e0498ef57fc07a33ee;Provender;1415 18th St;CA;94107;3.776.259.599;-1.223.969.469;Yes
55690b72498e40bf31517eef;Sugar Bake Cupcakes;3084 Sunrise Blvd Ste 15;CA;95742;38.591.097;-1.212.661.296;Yes
558dc53f498ecb14cc6eabb9;mistura;3858 Piedmont Ave;CA;94611;378.247.057;-1.222.549.229;Yes
4a63938af964a5205ac51fe3;Lexington Candy Shop;1226 Lexington Ave;NY;10028;4.077.760.408;-739.570.746;Yes
4a63aae2f964a5208bc51fe3;Cioppino's;400 Jefferson St;CA;94133;3.780.795.305;-1.224.192.971;Yes
4a7df40ff964a52057f01fe3;Cafe Asia;200 Larkin St;CA;94102;3.778.017.023;-1.224.164.701;Yes
4b212395f964a520423724e3;The Original Pancake House;790 E 2100 S;UT;84106;40.725.205;-1.118.684.104;Yes
4b4604bef964a5204c1426e3;Starbucks;1013 Locust St;IA;50309;41.585.788;-9.363.046;Yes
4b4c8281f964a520cbb426e3;Unum;1 Fountain Sq;TN;37403;3.505.041.091;-8.530.755.043;Yes
4b5b3641f964a52087eb28e3;El Rodeo;8128 E US Highway 36;IN;46123;3.976.357.901;-8.637.866.378;Yes
4b6c521af964a52079302ce3;Burger King;175 E. Erie Street;OH;44077;4.172.785.791;-8.124.498.278;Yes
4b8978cff964a520833932e3;BJ's Carolina Cafe;7069 Caratoke Hwy;NC;27947;362.025.683;-758.649.143;Yes
4bd72df532a2952108f9d5b8;Waldbaum's;2149 Ralph Avenue;NY;11234;4.062.597.249;-7.391.614.437;Yes
4be1a0378ea562b5921a2170;Starbucks;11720 Medlock Bridge Rd;GA;30097;34.066.516;-84.170.799;Yes
4bf454e298ac0f47a9dd63a8;NYPD Pizza of Lake Cay;9900 Universal Blvd;FL;32819;28.428.021;-8.144.421.246;Yes
4c407573af052d7fc3c87b79;Port Nutrition Juice Bar;927 Port Washington Blvd;NY;11050;4.082.935.781;-7.368.375.622;Yes
4c97ebf1f757a1cd7b3a9c7b;Chimera Brewing Company;1001 W Magnolia Ave;TX;76104;3.273.050.833;-9.733.527.639;Yes
4d59d16456f2b60cd44f7d2f;Dairy Queen;701 Valley View Blvd;PA;16602;405.092.048;-7.837.998.189;Yes
4d9e7a707f1b721e92cf890f;Plan B;121 W Wisconsin Ave;WI;54130;4.428.197.805;-8.826.856.593;Yes
4e35ba21aeb7f67fbd34722c;Mario's Pizza & Subs;315 Ocean St;NJ;8204;3.893.390.458;-7.492.128.537;Yes
4ead9ed92c5bb67b23b35545;Brigadoon Brewery;4808 Fairmont Pkwy #112;TX;77363;3.025.610.247;-9.583.896.129;Yes
4f97fc296b746216172d74f5;Check Into Cash;6869 C Pearl Road;OH;44130;41.378.377;-81.787.877;Yes
5021c006e4b0f661aaf13294;distractions Food and Drink;400 Central Ave E;MN;55376;452.106.335;-9.365.530.082;Yes
50748a1ff470b2607b059ff3;Northwest Savings Bank;PO Box 168;PA;16950;41.892.129;-77.526.179;Yes
509d7337498ec5d3beda4a48;Sushi Yanagi;83 Parkhurst Rd;MA;1824;4.262.541.545;-7.135.852.607;Yes
5193dacb498eabb1734b29dd;Pushcart Coffee;401 W 25th St;NY;10001;4.074.789.973;-7.400.052.662;Yes
5279291e11d247fb9d834230;Lazy Ibis;663 Franklin Ave;NY;11238;4.067.589.275;-7.395.609.307;Yes
5362e8f2498ef2e3a60ae4e7;Tea World;90 Eureka Sq Ste E;CA;94044;3.763.363.783;-1.224.888.226;Yes
538b6db0498e33f16c41757b;Tacos La Morenita;15493 E Hampden Ave;CO;80013;39.653.347;-104.807.915;Yes
53b71425498e7b6c99db223a;Blue Water Taco Grill;305 Harrison St;WA;98109;4.762.103.235;-1.223.509.104;Yes
53f2c73c498e3cfd4dca8256;Mixx;420 Castro St;CA;94041;3.739.078.857;-1.220.811.081;Yes
54107cc5498e24decc222713;Paragon Tap & Table;77 Central Ave;NJ;7066;406.269.173;-7.430.670.225;Yes
5474c21f498e5f719e4bf305;Taqueria Santa Fe;47-08 47th Ave;NY;11377;4.074.084.939;-7.391.782.679;Yes
549b356c498eaaf3952f5698;El Primo's Mexican Grill & Cantina;\\N;TX;76063;3.259.371.798;-9.710.652.759;Yes
558e1416498e195f4f52ad34;Tabletop;1810 W 25th St;OH;44113;4.148.634.145;-8.170.498.351;Yes
5630f36c498e03dc414e90b4;Chipotle;30229 Mound;MI;48092;4.251.401.189;-8.304.755.653;Yes
56d628c5cd106312063d772a;Braum's Ice Cream & Burgers, Fresh Market #86;6591 Eldorado Pkwy;TX;75070;3.317.371.554;-9.670.260.838;Yes
3fd66200f964a520bee91ee3;Jean-Georges;1 Central Park W;NY;10023;407.688.074;-7.398.141.031;Yes
49ccef74f964a5209f591fe3;City Diner;2441 Broadway;NY;10024;4.079.117.903;-7.397.451.997;Yes
4a7d9cd9f964a520efee1fe3;MTA Subway - Smith/9th St (F/G);9th St;NY;11231;40.674.388;-73.996.828;Yes
4a9fd801f964a520633d20e3;Jubilee Market;447 Broadway;NY;10013;4.072.044.995;-7.400.089.389;Yes
4abee2f1f964a5206c9020e3;Positive Pie;22 State St;VT;5602;4.426.009.009;-7.257.620.255;Yes
4b231c94f964a520735324e3;B. Merrell's;7600 Veterans Pkwy;GA;31909;3.255.757.476;-8.494.293.094;Yes
4b2bb2d5f964a52054b924e3;Victory Sports Bar & Grill;795 Route 73 South;NJ;8091;3.978.906.897;-7.491.166.017;Yes
4b393c54f964a520c25825e3;P.F. Chang's;4040 Townsfair Way;OH;43219;4.004.916.835;-8.291.349.623;Yes
4b89b0b0f964a520634b32e3;Ooka Japanese Restaurant;110 Veterans Ln;PA;18901;4.031.886.826;-7.513.132.137;Yes
4b9d0bbbf964a520f08a36e3;DJ's Grill;301 E Boynton Beach Blvd;FL;33435;2.652.911.782;-8.006.143;Yes
4baa4517f964a52088593ae3;Fuddruckers;6486 Dobbin Way;MD;21045;391.981.204;-7.682.039.354;Yes
