REFERENCE;ETABLISSEMENT;RESEAU;ACTIVIT;CONTACT;EMAILCONTACT;SITEWEB;TELEPHONE;FAX;HANDICAPS;CODEPOSTAL;ADRESSE;REGION;DEPARTEMENT;VILLE
2014-00091;Chambres et tables d'hôtes coté Tilleul;Tourisme et Handicap;Chambre d'hôtes;M.Traversier;eric@cote-tilleul.fr;http://www.cote-tilleul.fr;685606045;;"auditif ; mental ; moteur ; visuel";73240;Sur les Vignes 180 Chemin du Plateau;Auvergne Rhône-Alpes;SAVOIE;AVRESSIEUX
2014-00092;Gite le Clos Marcerolles;Tourisme et Handicap;Meublé de tourisme;M.Lefebre;distri-plus@wanadoo.fr;http://;235040724;;"auditif ; mental ; moteur ; visuel";76730;Rue Fleurie;Normandie;SEINE-MARITIME;GREGES
2013-12081;Office de tourisme du Canton de Montguyon;Tourisme et Handicap;Office de tourisme;M.Jonges;tourisme.montguyon@wanadoo.fr;http://www.tourisme-montguyon.fr;546042870;;"auditif ; mental ; moteur ; visuel";17270;Place Nord de la Mairie;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;MONTGUYON
2013-12082;Promenade en Hippomobile Chapuis;Tourisme et Handicap;Structure diverse;Mme Chapuis;ichapuis@chapuis-abc.fr;http://www.chapuis-abc.fr;687085720;;"auditif ; mental ; visuel";36160;Ecurie Atelier - Le Sioudray;Centre -  Val de Loire;INDRE;URCIERS
2014-00093;Gite la Bottiniere;Tourisme et Handicap;Meublé de tourisme;M.Botte;camaudan@free.fr;http://;235335289;;"auditif ; mental ; moteur";76850;45 rue de l'Eglise;Normandie;SEINE-MARITIME;GRIGNEUSEVILLE
2014-00094;Bureau d'information de Porquerolles Office de tourisme de Hyeres;Tourisme et Handicap;Office de tourisme;Mme De La Forest;contact@porquerolles.com;http://www.porquerolles.com;494583376;494583639;"mental ; moteur ; visuel";83400;Carré du Port;Provence Alpes-Côte d'Azur;VAR;PORQUEROLLES
2014-00095;Office de Tourisme La Londe Les Maures;Tourisme et Handicap;Office de tourisme;M.De Canson;accueil@ot-lalondelesmaures.fr;http://www.ot-lalondelesmaures.fr;494015310;494015319;"auditif ; mental ; moteur";;;;;
2013-12083;Camping des Petites Roches;Tourisme et Handicap;Camping;M.Boisselier;gites.camping@sainthilairedutouvet.fr;http://www.petites-riches.org;632370103;476083329;"mental ; moteur";38660;1 Chemin du Bec Margain;Auvergne Rhône-Alpes;ISERE;SAINT-HILAIRE
2014-00276;Caveau Domaine des Escaravatiers;Tourisme et Handicap;Structure diverse;M.Vasserot-merle;info@escaravatiers.com;http://www.escaravatiers.com;494555180;494555184;"auditif ; mental ; moteur ; visuel";8480;514 Chemin de Saint Tropez;Provence Alpes-Côte d'Azur;VAR;PUGET SUR ARGENS
2014-00277;Office de Tourisme Du Pradet;Tourisme et Handicap;Office de tourisme;Mme Squillante;tourisme@le-pradet.fr;http://www.lepradet-tourisme.fr;494217169;494085696;"auditif ; mental ; moteur";83220;Place du Général de Gaulle;Provence Alpes-Côte d'Azur;VAR;PRADET (LE)
2014-00278;Caveau Chateau la Valetanne;Tourisme et Handicap;Structure diverse;M.Constantin;jc@chateaulavaletanne.com;http://www.chateaulavaletanne.com;494289178;494353892;"auditif ; mental ; moteur ; visuel";83250;Route de Valcros;Provence Alpes-Côte d'Azur;VAR;LONDE-LES-MAURES (LA)
2014-00279;Meublé;Tourisme et Handicap;Meublé de tourisme;M.Silenziano;espacedunsejour@gmail.com;http://;494598192;;"auditif ; mental ; visuel";83470;2361 Chemin du Moulin;Provence Alpes-Côte d'Azur;VAR;SAINT MAXIMIM LA SAINTE BAUME
2014-00281;Meublé;Tourisme et Handicap;Meublé de tourisme;Mme Odinetz;olga.odinetz@yahoo.fr;http://;675790314;;"auditif ; mental ; moteur ; visuel";833320;8 Allée des Jonquilles La Californie;Provence Alpes-Côte d'Azur;VAR;CARQUEIRANNE
2014-00282;Gite Chaum'Etap;Tourisme et Handicap;Meublé de tourisme;Mme Vicard;nicole.vicard@orange.fr;http://www.gite-de-france-loire.com;477652941;;"auditif ; mental";42260;Chaume;Auvergne Rhône-Alpes;LOIRE;DANCÉ
2014-00283;Office de tourisme intercommunal Le Somail Grand Narbonne;Tourisme et Handicap;Office de tourisme;ot-somail@legrandnarbonne.com;ot-somail@legrandnarbonne.com;http://www.legrandnarbonne.com;468415570;;"auditif ; mental ; moteur ; visuel";11120;168 Allée de la Glacière;Languedoc-Roussillon Midi-Pyrénées;AUDE;SOMAIL (LE)
2014-00284;Chambres d'hôtes la Barbinière;Tourisme et Handicap;Chambre d'hôtes;M.Brandel;contact@labarbiniere.com;http://www.labarbiniere.com;233837697;233837697;"auditif ; mental ; moteur ; visuel";61290;1, les Ferettes;Normandie;ORNE;NEUILLY-SUR-EURE
2014-00285;Gite l'Atelier du Charron;Tourisme et Handicap;Meublé de tourisme;Mme Lebigot;celinelebigot@gmail.com;http://;671909735;;"auditif ; mental ; moteur ; visuel";76425;106 Route de la Forge;Normandie;SEINE-MARITIME;MENTHEVILLE
2014-00286;Gite G4060;Tourisme et Handicap;Meublé de tourisme;Mme Demars;josiane-demares@orange.fr;http://;235236782;;"auditif ; mental ; moteur ; visuel";76116;488 Route du Chêne Cornu;Normandie;SEINE-MARITIME;SAINT-AIGNAN-SUR-RY
2014-00287;Musée de la Résistance;Tourisme et Handicap;Lieu de visite;Mme Martin;alexandra_moreau@ville-limoges.fr;http://www.resistance-massif-central.fr;555458442;555458445;"auditif ; mental ; moteur ; visuel";87000;7 rue Neuve Saint Etienne;Aquitaine Limousin Poitou-Charentes;HAUTE-VIENNE;LIMOGES
2014-00288;Office fluvial - Capitainerie;Tourisme et Handicap;Structure diverse;M.Fraboni;odile.maydieu.capitainerie@cccla.fr;http://www.castelnaudary-tourisme.com;468236909;468231913;"auditif ; mental ; moteur ; visuel";11400;3A Quai du Port;Languedoc-Roussillon Midi-Pyrénées;AUDE;CASTELNAUDARY
2014-00289;Gite rural Les Logis du Hallay;Tourisme et Handicap;Meublé de tourisme;M.Saussereau;logisduhallay@orange.fr;http://www.logisduhallay.com;679143928;;"auditif ; mental ; moteur ; visuel";44690;20 rue des Noelles;Pays de la Loire;LOIRE-ATLANTIQUE;HAYE (LA)
2014-00290;Gare de Fret de Bressuire;Tourisme et Handicap;Hôtel-restaurant;M.Bernier;batiment@ville-bressuire.fr;http://www.ville-bressuire.fr;549804980;549741635;"auditif ; mental ; moteur ; visuel";79300;54 Boulevard Foch;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;BRESSUIRE
2014-00291;Hôtel restaurant Chateau d'Ygrande;Tourisme et Handicap;Hôtel-restaurant;M.Tissier;reservation@chateauygrande.fr;http://www.chateauygrande.fr;470663311;470663363;"auditif ; mental";3160;Le Mont;Auvergne Rhône-Alpes;ALLIER;YGRANDE
2014-00292;Site pédagogique - Citévolution;Tourisme et Handicap;;Mme Guet;sophie.guet@ville-moulins.fr;http://;470480132;;"mental ; moteur ; visuel";3000;Hotel Demouret 83 rue d'Allier;Auvergne Rhône-Alpes;ALLIER;MOULINS
2014-00293;Office de Tourisme de Moulins;Tourisme et Handicap;Office de tourisme;M.Thevenin;bienvenue@pays-bourbon.com;http://www.moulins-tourisme.com;470441414;470340021;"auditif ; mental ; moteur ; visuel";3000;11 rue Francois Péron;Auvergne Rhône-Alpes;ALLIER;MOULINS
2014-00295;"Gite ""Les Dames Vertes""";Tourisme et Handicap;Meublé de tourisme;M.Tabutin;mhsimonet03@wanadoo.fr;http://;470286022;;"auditif ; mental ; moteur ; visuel";3370;Le Bourg;Auvergne Rhône-Alpes;ALLIER;MESPLES
2014-00297;Chambres d'hôtes Les Malvaux;Tourisme et Handicap;Chambre d'hôtes;M.Nicolas;malvaux@gmail.com;http://www.lesmalvaux.fr;470064409;;"auditif ; mental ; moteur ; visuel";33380;28 Les Malvaux;Auvergne Rhône-Alpes;ALLIER;HURIEL
2014-00298;Auberge du Moulin Marin;Tourisme et Handicap;Hôtel-restaurant;;lemoulinmarin@wanadoo.fr;http://www.moulin-marin.com;470990853;470993503;"mental ; visuel";3120;Moulin Marin;Auvergne Rhône-Alpes;ALLIER;LAPALISSE
2014-00299;Gite de Mme Fries - 1147;Tourisme et Handicap;Meublé de tourisme;Mme Fries;gite.fries@gmail.com;http://;389472391;;"auditif ; mental";68650;275 Le Fossé;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;LAPOUTROIE
2014-00300;Gite de Mme Fries - 1812;Tourisme et Handicap;Meublé de tourisme;Mme Fries;gite.fries@gmail.com;http://;389472391;;"auditif ; mental";68650;275 Le Fossé;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;LAPOUTROIE
2014-00301;Hôtel le Petit Kohlberg;Tourisme et Handicap;Hôtel;Mme Meister;info@petitkohlberg.com;http://www.petitkohlberg.com;389408530;389408940;"mental ; visuel";68480;Le Petit Kohlberg;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;LUCELLE
2014-00302;Restaurant Le Petit Kohlberg;Tourisme et Handicap;Restaurant;Mme Meister;info@petitkohlberg.com;http://www.petitkohlberg.com;389408530;389408940;"auditif ; mental ; visuel";68480;Le Petit Kohlberg;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;LUCELLE
2014-00303;Gite Chagal;Tourisme et Handicap;Meublé de tourisme;Mme Zirgel;julie_zirgel@yahoo.fr;http://www.baumann-zirgel.com;624291271;389490489;"auditif ; mental ; moteur";68630;31 rue du Boxhof;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;MITTELWHIR
2014-00304;Hôtel Restaurant Le Prado;Tourisme et Handicap;Hôtel-restaurant;M.Arnal;leprado4@wanadoo.fr;http://www.hotel-le-prado.com;471466637;471469178;"mental ; moteur ; visuel";15250;16 Avenue de la Prade;Auvergne Rhône-Alpes;CANTAL;JUSSAC
2014-00305;Restaurant Valli;Tourisme et Handicap;Restaurant;M.Mounier;valli@wanadoo.fr;http://www.valli.fr;490876654;;"auditif ; mental ; moteur ; visuel";84000;Centre commercial Cap Sud 162 Avenue Pierre Sémard;Provence Alpes-Côte d'Azur;VAUCLUSE;AVIGNON
2014-00306;Inter-Hôtel O'Nice;Tourisme et Handicap;Hôtel;Mme Fatin;on1715@inter-hotel.com;http://www.hotel-saintes-17.com;546908904;546908905;"auditif ; mental ; moteur ; visuel";17100;107 Cours du Maréchal Leclerc;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINTES
2014-00307;Chambre d'hôtes Chateau de Changy;Tourisme et Handicap;Chambre d'hôtes;;thierry.vavasseur@wanadoo.fr;http://www.domaine-des-grands-cedres.fr;477649474;;"auditif ; mental";42123;Domaine des Grands Cèdres;Auvergne Rhône-Alpes;LOIRE;CORDELLE
2014-00097;Gite rural;Tourisme et Handicap;Meublé de tourisme;Mme Mercier-Kalayan;"cmkalayan@club-internet;fr";;650959446;;"auditif ; mental ; moteur ; visuel";77510;17 bis Les Chaiseq;Ile-de-France;SEINE-ET-MARNE;DOUE
2014-00098;Hotel Restaurant Auberge du Relais;Tourisme et Handicap;Hôtel-restaurant;M.Tschiember;aubergedurelais@hotmail.fr;http://www.aubergedurelais.fr;;;;;;;;
;389755619;389399013;"auditif ; mental ; moteur";35 rue de Soultz;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;UFFHOLTZ;;;;;;;
2014-00099;Site naturel et culturel de Paulilles;Tourisme et Handicap;Sport de nature;Mme Malherbe;laetitia.artus@cg66.fr;http://www.cg66.fr;468952340;;"auditif ; mental";66660;Anse de Paulilles;Languedoc-Roussillon Midi-Pyrénées;PYRENEES-ORIENTALES;PORT VENDRES
2014-00308;Salle de reception L'Orangerie Chateau de Changy;Tourisme et Handicap;Structure diverse;M.Vavasseur;thierry.vavasseur@wanadoo.fr;http://www.domaine-des-grands-cedres.fr;477649474;;"auditif ; mental ; moteur ; visuel";42123;Domaine des grands Cèdres;Auvergne Rhône-Alpes;LOIRE;CORDELLE
2014-00100;Parcours de pêche en riviere Entre Pont de Rutiès et aire de jeux de Latour de Carol;Tourisme et Handicap;Sport de nature;M.Patau;M.Patau;http://www.peche66.org;468668838;;"auditif ; mental ; moteur";66000;;Languedoc-Roussillon Midi-Pyrénées;PYRENEES-ORIENTALES;PERPIGNAN
2014-00101;Office de tourisme de Guéthary;Tourisme et Handicap;Office de tourisme;M.Larre;office@guethary-tourisme.com;http://www.guethary-tourisme.com;559265660;559549267;"auditif ; mental ; visuel";64210;74 rue de Swiecinski;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;GUÉTHARY
2014-00309;Hotel Fasthotel;Tourisme et Handicap;Hôtel;M.Quin;dunkerque@fasthotel.com;http://www.dunkerque-fasthotel.info;328211776;;"mental ; moteur ; visuel";59760;3 Rue de la Porte de Lille;Nord-Pas de Calais Picardie;NORD;GRANDE-SYNTHE
2014-00310;Chambre d'hôtes Les Marais;Tourisme et Handicap;Chambre d'hôtes;Mme Poirier;tissages.poirier@wanadoo.fr;http://www.gites-de-france.com;474711135;;"auditif ; mental ; moteur ; visuel";69400;148 Route de Jarnioux;Auvergne Rhône-Alpes;RHONE;POUILLY-LE-MONIAL
2014-00102;Espace muséographique Les Salines de Salies de Béarn;Tourisme et Handicap;Lieu de visite;M.Dupont;gaelle.reclus@selsaliesdebearn.com;http://www.sel-salies-de-bearn.com;559389690;559670217;"auditif ; mental ; moteur ; visuel";64270;Avenue des Salines;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;SALIES DE BÉARN
2014-00311;Gite le Chant des Oiseaux;Tourisme et Handicap;Meublé de tourisme;M.Victeur;martinebruno.victeur@gmail.com;http://;232709944;;"auditif ; mental ; moteur ; visuel";76190;30 D rue Chant des Oiseaux;Normandie;SEINE-MARITIME;YVETOT
2014-00312;Piscine Intercommunale du Pays Mellois;Tourisme et Handicap;;M.Febrero;piscines@paysmellois.org;http://www.paysmellois.org;549273252;549279187;"auditif ; mental ; moteur ; visuel";79500;Sous bressarde;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;CHEF-BOUTONNE
2014-00104;Office de tourisme de Pau;Tourisme et Handicap;Office de tourisme;M.Laine;accueil@tourismepau.fr;"http://www;tourismepau.com";559272708;559270321;"auditif ; mental ; moteur ; visuel";64000;Place Royale;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;PAU
2014-00313;Piscine Aqua'Melle;Tourisme et Handicap;;M.Febrero;aquamelle@orange.fr;http://www.paysmellois.org;549270191;;"auditif ; mental ; visuel";79500;1 Allée du Penier;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;MELLE
2014-00314;Gite de la Ponne;Tourisme et Handicap;Meublé de tourisme;Mme Pineau-lacaze;pineau-lacaze@cegetel.net;http://;549798979;;"auditif ; mental ; visuel";79370;40 Chemin des Platanes Mortefond;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;CELLES
2014-00315;Gite des Marsaudieres;Tourisme et Handicap;Meublé de tourisme;Mme Skaky;ferme-des-marsaudieres@sfr.fr;http://www.ferme-des-marsaudieres.fr;247555701;;"auditif ; mental ; visuel";79320;Les Marsaudieres;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;CHANTELOUP
2015-00186;Camping municipal de l'Hippodrome;Tourisme et Handicap;Camping;Mme Duchemin;camping@sablessursarthe.fr;http://www.camping.sablessirsarthe.fr;243954261;243927482;"auditif ; mental ; moteur ; visuel";72305;Allée du Quebec;Pays de la Loire;SARTHE;SABLE-SUR-SARTHE
2014-00316;Meublé Mme Grenat;Tourisme et Handicap;Meublé de tourisme;Mme Grenat;mariegrenat@wanadoo.fr;http://;671941148;;"auditif ; mental ; moteur ; visuel";83136;946 Chemin du Pré de Castres;Provence Alpes-Côte d'Azur;VAR;FORCALQUEIRET
2014-00317;Restaurant le Point de Vue;Tourisme et Handicap;Restaurant;Mme Hayot;melofred.hayot@wanadoo.fr;;596690522;;"auditif ; mental ; visuel";97230;Charpentier;Martinique;MARTINIQUE;SAINTE MARIE
2014-00318;Meublé de tourisme Au Bord du Pré;Tourisme et Handicap;Meublé de tourisme;Mme Bouhajeb;bdmjonzac@laposte.net;http://;557969138;556801748;"auditif ; mental ; visuel";17500;22 ter rue Greffier;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;JONZAC
2014-00319;Meublé de tourisme Au fil de l'eau;Tourisme et Handicap;Meublé de tourisme;Mme Bouhajeb;bdmjonzac@laposte.net;http://;557969138;556801748;"auditif ; mental ; visuel";17500;22 bis rue Greffier;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;JONZAC
2014-00320;Chambre d'hôtes Le Clos des Palmiers;Tourisme et Handicap;Chambre d'hôtes;M.Cariou;contact@leclosdespalmiers.com;http://www.leclosdespalmiers.com;546689952;;"auditif ; mental ; moteur ; visuel";17230;2 rue du Beurre;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT OUEN D'AUNIS
2015-00187;V.V.F UNTXIN;Tourisme et Handicap;Village de vacances;M.Saada;urrugne@vvfvillages.fr;http://www.vvfvillages.fr;559473974;559474658;"auditif ; mental ; moteur ; visuel";64122;6 rue Kattalin Aguirre;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;URRUGNE
2015-00188;Office de Tourisme Point d'information de la Borne;Tourisme et Handicap;Office de tourisme;Mme Thirot;contact@tourisme-hautberry.com;http://www.tourisme-hautberry.com;248267413;;"auditif ; mental ; moteur ; visuel";18250;La Borne;Centre -  Val de Loire;CHER;HENRICHEMONT
2015-00863;Hotel Uhainak;Tourisme et Handicap;Hôtel;M.Fagondo;hotel-uhainak-sarl@wanadoo.fr;http://www.hotel-uhainak.com;559203363;;"auditif ; mental ; moteur";64700;3 Boulevard de la Mer;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;HENDAYE
2014-00321;Meublé Le Grand Courdeault;Tourisme et Handicap;Meublé de tourisme;M.Gaborit;asso.gites417@orange.fr;http://www.gites-de-france-atlantique.com;546279344;;"auditif ; mental";17700;Le Grand Courdeault;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT PIERRE D'AMILLY
2015-00189;Hotel Restaurant Domaine du Breuil;Tourisme et Handicap;Hôtel-restaurant;M.Marmain;info@domaine-du-breuil.com;http://www.domaine-du-breuil.com;545353206;545351415;"auditif ; mental";16100;104 rue Robert Daugas;Aquitaine Limousin Poitou-Charentes;CHARENTE;COGNAC
2014-00322;Meublé de tourisme L'Aigrette;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaulmette@yahoo.fr;http://www.laguillaumette.com;546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la Fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2014-00323;Meublé de tourisme La Spatule;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaumette@yahoo.fr;http://www.laguillaumette.com;546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la Fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2015-00190;Zoo de Martinique;Tourisme et Handicap;Lieu de visite;M.Fontenille;info@zoodemartinique.com;http://www.zoodemartinique.com;596527606;;"auditif ; mental ; moteur ; visuel";97221;Anse Latouche;Martinique;MARTINIQUE;CARBET (LE)
2014-00324;Meublé de tourisme Le Courlis;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaumette@yahoo.fr;http://www.laguillaumette.com;546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la Fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2014-00325;Meublé de tourisme Le Vanneau;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaumette@yahoo.fr;http://www.laguillaumette.com;546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la Fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2014-00326;Meublé de tourisme La Tadorne;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaumette@yahoo.fr;"http://www.laguillaumette;com";546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2014-00327;Meublé de tourisme La Bernache;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaumette@yahoo.fr;http://www.laguillaumette.com;546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la Fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2014-00328;Meublé de tourisme Le Heron;Tourisme et Handicap;Meublé de tourisme;M.De Coster;laguillaumette@yahoo.fr;http://www.laguillaumette.com;546840823;546840823;"auditif ; mental";17450;La Guillaumette 6 rue de la Fée au Bois;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FOURAS LES BAINS
2014-00329;Musée de Saint Jean d'Angely;Tourisme et Handicap;Lieu de visite;M.Lamarche;musee@angely.net;http://www.angely.net;546250972;;"auditif ; mental ; moteur ; visuel";17400;9 rue Régnaud;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT JEAN D'ANGÉLY
2014-00330;Centre Pompidou - Metz;Tourisme et Handicap;Lieu de visite;M.Le Bon;"contact@centrepompidou-metz;fr";http://www.centrepompidou-metz.fr;387153939;387153940;"auditif ; mental ; moteur";57020;1 Parvis des Droits de l'Homme;Alsace Champagne-Ardenne Lorraine;MOSELLE;METZ
2014-00331;Auberge de Ruillé Vègre;Tourisme et Handicap;Hôtel-restaurant;Mme Lebrun;contact@aubergederuille.com;http://www.aubergederuille.com;243880956;;"auditif ; mental ; moteur ; visuel";72240;4 rue de la Vègre;Pays de la Loire;SARTHE;RUILLE-EN-CHAMPAGNE
2015-00864;Restaurant le Poisson Rouge;Tourisme et Handicap;Restaurant;M.Cantinol;max-cantinol@orange.fr;http://;596764374;;"auditif ; mental ; visuel";97223;Quartier Taupinière;Martinique;MARTINIQUE;DIAMANT (LE)
2014-00105;Gite le Refuge;Tourisme et Handicap;Meublé de tourisme;Mme Fauchille;fauchille.s@orange.fr;"http://www;gitedupointdujour.com";321303768;;"auditif ; mental ; moteur";62126;17 Chemin du Bois du Souverain Moulin;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;WIMILLE
2014-00108;Gite les Galets;Tourisme et Handicap;Meublé de tourisme;M.Ringo;xavier.ringo@wanadoo.fr;http://;321329788;321329788;"auditif ; mental ; moteur";62164;Hameau de Onglaert;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;AUDRESSELLES
2014-00332;Gite de groupe La Vieille Colonie;Tourisme et Handicap;Meublé de tourisme;Mme Ria de Groot;info@lavieillecolonie.com;http://www.lavieillecolonie.com;329253974;;"auditif ; mental ; moteur ; visuel";88560;52 rue des Charbonniers;Alsace Champagne-Ardenne Lorraine;VOSGES;SAINT MAURICE SUR MOSELLE
2014-00333;Gite du Bocage de la Motte;Tourisme et Handicap;Meublé de tourisme;Mme Hivet;gites_hivet@hotmail.fr;http://;327618071;327570086;"auditif ; moteur ; visuel";59740;18 rue de la Motte;Nord-Pas de Calais Picardie;NORD;LIESSIES
2014-00334;Office de Tourisme des Trois Province;Tourisme et Handicap;Office de tourisme;M.Monseau;tourisme.3provinces@orange.fr;http://www.tourisme-3provinces.jimdo.com;248748834;248748834;"auditif ; mental ; moteur";18600;13 Place du Commerce;Centre -  Val de Loire;CHER;SANCOINS
2014-00335;Meublé de Tourisme;Tourisme et Handicap;Meublé de tourisme;Mme Teyssiere;ysabelle.teisseyre@gmail.com;http://;664459701;;"auditif ; mental ; visuel";17300;Résidence maritime Appartement 1 - 16 rue Henri Laborit;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;ROCHEFORT
2014-00109;Gite de Pech Durand;Tourisme et Handicap;Meublé de tourisme;M.Gay;m.jc.gay@wanadoo.fr;http://;553012669;;"auditif ; mental";47300;Lieu dit Soubirous Pech de Durand;Aquitaine Limousin Poitou-Charentes;LOT-ET-GARONNE;VILLENEUVE SUR LOT
2014-00979;Office de tourisme de Batz sur Mer;Tourisme et Handicap;Office de tourisme;M.Uguen;officetourisme@mairie-batzsurmer.fr;http://www.ot-batzsurmer.fr;2402392369;240237410;"auditif ; mental ; visuel";44740;25 rue de la Plage;Pays de la Loire;LOIRE-ATLANTIQUE;BATZ SUR MER
