Name;lat;lon;Straße;Hausnummer;PLZ;Stadt;Land;Telefon;Rollstuhlgerecht (ja/nein/teilweise)?;Rollstuhl-Toilette (ja/nein)?;Info zur Rollstuhlgerechtigkeit
Wall City-Toilette;13,1762222222;52,4214722222;Wannsee , Rönnebypromenade;;14109;Berlin;DE;+49 800 092 55 24;ja;ja;April bis Oktober 24h geöffnet
Wall City-Toilette;13,4639155114;52,5079000373;Wühlischplatz, Wühlischstr.;;10245;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4345572862;52,5114773654;Erich-Steinfurth-Str.;;10243;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4506315673;52,5076197422;Warschauer Str.;;10243;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4273933717;52,5271156464;Am Märchenbrunnen , Friedenstr.;;10249;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4690242764;52,5112315353;Traveplatz / Weichselstraße;;10247;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4473361605;52,5114461688;Comeniusplatz , Torellstr.;;10243;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4610899386;52,5199553505;Forckenbeckplatz , Eldenaer Str.;;10247;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4329722222;52,5235;Landsberger Allee;;10249;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,6047018253;52,5393854731;Quedlinburger Str.;;12627;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5915778397;52,5294186207;Neue Grottkauer Str.;;12619;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,6010719319;52,5358189594;Hellersdorfer Str.;;12627;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,6011724568;52,4825517916;Roedernstr.;;12623;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,6033844999;52,5319773156;Boulevard Kastanienallee;;12619;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5748868505;52,51290074;S+U Bhf Wuhletal Altentreptower Str.; ;12621;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5884471024;52,5208672436;Hellersdorfer Str.;78;12619;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,504879;52,573357;S-Bhf. Wartenberg , Egon-Erwin-Kisch-Str.;28;13059;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4942620699;52,54559582;Degnerstr.;5;13053;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,62535;52,457726;S-Bhf. Friedrichshagen, Dahlwitzer Landstr.;;12587;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,574246;52,413678;S-Bhf. Grünau, Wassersportallee;;12527;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5801011002;52,4589416638;S-Bhf. Köpenick, Stellingdamm;;12555;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,7208973532;52,4391569518;S-Bhf. Wilhelmshagen, Schönblicker Str.;;12589;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5138426266;52,464689371;Griechische Allee;2;12459;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5266502973;52,4586092031;Wilhelminenhofstr.;54;12459;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4706950203;52,5310082107;Landsberger Allee;;10369;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4795858138;52,518999597;Möllendorffstr.;;10367;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,50882;52,51505;Gudrunstr.;20;10365;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4997915356;52,5110008047;Weitlingstr.;2;10317;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4765202036;52,5131629347;Gürtelstr.;;10247;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,48398;52,50302;Nöldnerplatz, Archibaldweg;;10317;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5260174309;52,4813251482;S-Bhf. Karlshorst, Stolzenfelsstr.;;10318;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5549178147;52,5134202058;S-Bhf. Biesdorf, Wuhlgartenweg;;12683;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5609083176;52,5059394836;Elsterwerdaer Platz;1-3;12683;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5380301296;52,527968389;Helene-Weigel-Platz;4;12681;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5658355425;52,5700993693;Havemannstr.;;12689;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,549245;52,544367;Marzahner Promenade (Fußgängerzone);30-33;12679;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,54735;52,500953;Debenzer Str.;;12683;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3829069138;52,5168609619;Unter den Linden;68;10117;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,381269455;52,5166091919;Unter den Linden;76;10117;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4135725657;52,5127077114;Köllnischer Park, Rungestr.;31;10179;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3915;52,5141666667;Charlottenstr.;;10117;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3780555556;52,529;Invalidenstr.;;10117;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3998980761;52,5194673259;Museumsinsel, Am Lustgarten;;10178;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,400429357;52,521999592;Burgstr. (James-Simon-Park);;10178;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,400267295;52,5806731668;Waldstr.;;13156;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4116505789;52,5672258922;S-Bhf. Pankow DB Florastr., Garbatyplatz;;13187;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,413621;52,559883;Elsa-Brändström-Str.;2;13189;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4946064531;52,6356555785;Wiltbergstr.;19;13125;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4205648128;52,6071445264;Hugenottenplatz, Schweizer Tal;;13127;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4073465278;52,5702539546;Breite Str.;35;13187;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4119405746;52,5430526733;Schönhauser Allee;;10437;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,42732495;52,5458669801;Wichertstr.;43;10439;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4371079874;52,5335952903;Arnswalder Platz , Bötzowstr.;;10407;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4054260825;52,5467650349;Am Falkplatz;;10437;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4167031363;52,5359618579;Kollwitzplatz / Kollwitzstr.;;10435;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,41343229;52,55067675;Schivelbeiner Str.;1;10439;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,42089017;52,54864128;Wichertstr.;21;10439;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,41329416;52,55375525;Bornholmer Str.;94;10439;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4382602265;52,5415386868;Grellstr. / Greifswalder Str.;;10409;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4187777778;52,5429388889;Helmholtzplatz , Raumerstr.;;10437;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5275184661;52,4109872979;Schönefelder Chaussee;100;12524;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4643048505;52,4874863579;Am Treptower Park;;12435;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4868;52,46595;Kiefholzstr.;258;12437;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,50934272;52,45369117;Sterndamm;8-10;12487;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4511497885;52,4890646412;Plesser Str.;7;12435;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,53926;52,43443;Rudower Chaussee;1;12489;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4512367148;52,5481660047;Antonplatz, Berliner Allee;34;13088;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4662555639;52,5526148502;Berliner Allee;;13086;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,48851;52,617635;Achillesstr.;;13125;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,46583;52,55721;Rennbahnstr.;;13086;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5931088889;52,6767444444;Bernau-Bhf. DB;;16321;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,6154444444;52,3720555556;"Eichwalde-S-Bhf. DB ; August-Bebel-Allee";;15732;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,0893888889;52,5595277778;"Falkensee-Bhf. DB ; Finkenkruger Str.";;14612;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2055;52,6371666667;"OHV-Hennigsdorf-Bhf. DB ; Poststr.";;16761;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,6310555556;52,2963888889;Königs Wusterhausen-Bhf. DB;;15711;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2482222222;52,75475;Oranienburg-Bhf. DB;;16515;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2045277778;52,6663611111;Wall-Werk Velten;;16727;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,1777222222;52,6875;Ratsgasse (Marktplatz-Fußgängerzone);;16727;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,172297;52,685025;Bahnstr.;;16727;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;12,9256111111;52,3928611111;Werder/H.-Bhf. DB Bahnhofsvorplatz;;17089;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,317301474;52,5014749852;George-Grosz-Platz, Kurfürstendamm;50;10629;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,290356505;52,51879627;Klausenerplatz;;14059;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,322725;52,505252;Savignyplatz;1;10623;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,306683;52,5078805;Pestalozzistr.;77;10627;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2601504282;52,5161478406;Preußenallee;;14052;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,29402034;52,53625419;Kurt-Schumacher-Damm;;13627;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2435201;52,512991;Trakehner Allee;;14053;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,24459;52,51562;Olympischer Platz;6;14053;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,240781;52,5121801;Trakehner Allee;;14053;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,240857;52,525505;Hempelsteig;;14052;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4181981096;52,4986246968;Kottbusser Tor, Kottbusser Str. ;1;10999;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4198320333;52,4956702562;Planufer;;10967;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4303324732;52,4997022495;Lausitzer Platz;;10997;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,398054;52,490534;Gneisenaustr.;39;10961;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4085659005;52,4927440515;Urbanstr.;21;10961;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4388993994;52,4950319375;Wiener Str. / Glogauer Str.;;10999;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,391234;52,501269;Friedrichstr.;;10969;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4368558397;52,4661676648;Kranoldplatz;;12051;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4252979899;52,4876315049;Hermannplatz;9;10967;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4735123213;52,4231532751;Wutzkyallee;67;12353;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4427718484;52,4697384788;Saalestr. S-Bhf Neukölln;;12055;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4220797134;52,4769375813;Schillerpromenade / Herrfurthplatz;;12049;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4643174809;52,4703125034;Sonnenallee;261;12057;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4389057609;52,4737141412;Thomashöhe, Thomasstr.;;12053;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4517044906;52,4525140514;Buschkrugallee;;12359;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4631797599;52,4238378902;Lipschitzplatz;;12353;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4977403163;52,4158088417;Waltersdorfer Chaussee;;12355;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4281546087;52,4800930414;Boddinplatz / Mainzer Str.;;12053;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,445384882;52,4740718988;Richardplatz;17;12055;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,5094997377;52,4023146388;Lieselotte-Berger-Platz / Liselotte-Berger-Str.;;12355;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,438141;52,478802;Richardstr.;1;12043;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2827884564;52,5898527734;Alt-Tegel;;13507;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3289793637;52,5641771983;Kurt-Schumacher-Platz / Scharnweberstr.;;13405;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2890079265;52,6319858039;S-Bhf. Frohnau / Welfenallee;1-5;13465;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2741995955;52,5870686033;Greenwichpromenade 1;;13507;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2885526719;52,5880929134;Buddeplatz (S-Bhf. Tegel ) Buddestr.;;13507;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3322504014;52,5975581138;Göschenplatz, Oranienburger Str.;185;13437;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2750594843;52,5858579684;Greenwichpromenade 2;;13507;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3434712846;52,4786755758;Innsbrucker Platz;;10827;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3418342277;52,4690859013;Dürerplatz / Rembrandtstr.;;12157;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3282844779;52,4727016885;Friedrich-Wilhelm-Platz / Bundesallee;;12161;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3536221927;52,4948779984;Winterfeldtplatz / Hohenstaufenstr.;1;10781;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3528333333;52,4843055556;Hauptstr.;;10827;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3664903265;52,4939235426;Yorckstr. / Bülowstr.;;10829;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3427270609;52,5024676292;Wittenbergplatz / Ansbacher Str.;;10789;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3485961002;52,4586020922;Munsterdamm;;12157;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,355711;52,459251;Priesterweg (S-Bahnhof);;12157;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2056353123;52,5414339921;Neuendorfer Str.;2;13585;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,1439183848;52,4537512567;Kladower Damm / Sakrower Landstr.;;14089;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
